age,quantity,price,gender_Female,gender_Male,category_Books,category_Clothing,category_Cosmetics,category_Food & Beverage,category_Shoes,category_Souvenir,category_Technology,category_Toys,payment_method_Cash,payment_method_Credit Card,payment_method_Debit Card
57,2,81.32,0,1,0,0,1,0,0,0,0,0,1,0,0
68,5,203.3,0,1,0,0,1,0,0,0,0,0,1,0,0
60,2,1200.34,1,0,0,0,0,0,1,0,0,0,0,0,1
62,3,121.98,1,0,0,0,1,0,0,0,0,0,0,0,1
59,1,11.73,0,1,0,0,0,0,0,1,0,0,0,1,0
26,5,203.3,1,0,0,0,1,0,0,0,0,0,0,0,1
61,4,162.64,1,0,0,0,1,0,0,0,0,0,1,0,0
39,2,600.16,0,1,0,1,0,0,0,0,0,0,0,0,1
43,4,20.92,0,1,0,0,0,1,0,0,0,0,1,0,0
39,3,3150.0,1,0,0,0,0,0,0,0,1,0,0,1,0
69,4,46.92,1,0,0,0,0,0,0,1,0,0,1,0,0
22,3,15.69,0,1,0,0,0,1,0,0,0,0,1,0,0
67,1,40.66,1,0,0,0,1,0,0,0,0,0,0,0,1
31,5,179.2,0,1,0,0,0,0,0,0,0,1,0,0,1
23,1,40.66,1,0,0,0,1,0,0,0,0,0,1,0,0
32,5,1500.4,1,0,0,1,0,0,0,0,0,0,0,1,0
69,5,75.75,1,0,1,0,0,0,0,0,0,0,1,0,0
28,3,1800.51,0,1,0,0,0,0,1,0,0,0,1,0,0
59,5,3000.85,1,0,0,0,0,0,1,0,0,0,1,0,0
50,2,600.16,0,1,0,1,0,0,0,0,0,0,0,1,0
61,4,20.92,1,0,0,0,0,1,0,0,0,0,1,0,0
25,1,1050.0,1,0,0,0,0,0,0,0,1,0,0,1,0
56,4,1200.32,1,0,0,1,0,0,0,0,0,0,0,1,0
36,2,600.16,1,0,0,1,0,0,0,0,0,0,1,0,0
67,4,162.64,1,0,0,0,1,0,0,0,0,0,0,1,0
54,5,26.15,0,1,0,0,0,1,0,0,0,0,0,0,1
32,5,26.15,0,1,0,0,0,1,0,0,0,0,0,0,1
59,4,162.64,0,1,0,0,1,0,0,0,0,0,1,0,0
40,3,900.24,1,0,0,1,0,0,0,0,0,0,1,0,0
48,4,4200.0,1,0,0,0,0,0,0,0,1,0,1,0,0
28,5,179.2,1,0,0,0,0,0,0,0,0,1,0,1,0
36,5,1500.4,0,1,0,1,0,0,0,0,0,0,1,0,0
49,5,1500.4,1,0,0,1,0,0,0,0,0,0,0,1,0
37,2,23.46,1,0,0,0,0,0,0,1,0,0,0,1,0
44,1,300.08,0,1,0,1,0,0,0,0,0,0,1,0,0
27,5,1500.4,1,0,0,1,0,0,0,0,0,0,0,1,0
22,5,1500.4,0,1,0,1,0,0,0,0,0,0,1,0,0
35,4,20.92,1,0,0,0,0,1,0,0,0,0,0,1,0
55,2,2100.0,0,1,0,0,0,0,0,0,1,0,1,0,0
63,2,10.46,1,0,0,0,0,1,0,0,0,0,1,0,0
69,2,600.16,1,0,0,1,0,0,0,0,0,0,1,0,0
59,5,1500.4,1,0,0,1,0,0,0,0,0,0,1,0,0
61,2,10.46,1,0,0,0,0,1,0,0,0,0,0,1,0
66,3,900.24,0,1,0,1,0,0,0,0,0,0,1,0,0
27,1,300.08,1,0,0,1,0,0,0,0,0,0,1,0,0
